# This file contains terms and their lemma forms as determined by the POS
# tagger TreeTagger. DIAsDEM Workbench 2.1 can only process single-token
# terms (e.g., 'ist') which do not contain blank spaces. Terms are not
# looked up case-sensitively. Hence, both terms 'ist' and 'IST' will be
# mapped onto the grammatical root 'sein'. Each line contains exactly one
# term and its lemma form separated by exactly one tab stop. This file was
# created by the DIAsDEM task Actions -> Prepare Data Set -> Lemmatize
# Text Units using the advanced option 'Create New Known Lemma Forms File'.
Datenverarbeitungssysteme	Datenverarbeitungssystem
Arbeitsgemeinschaften	Arbeitsgemeinschaft
Formaten	Format
Deetz	Deetz
Fanartikel	Fanartikel
Biographien	Biographie
Dettmers	Dettmers
Dabendorf	Dabendorf
Verkehrsbau	Verkehrsbau
Bubner	Bubner
Rüsselsheim	Rüsselsheim
Verlag	Verlag
Projektierungen	Projektierungen
Direct	Direct
Jan	Jan
Lübbenau	Lübbenau
Alex	Alex
Keramik	Keramik
Diehn	Diehn
Kubitz	Kubitz
Sanar	Sanar
Aufgabenstellung	Aufgabenstellung
multimedialen	multimedialen
Verbesserung	Verbesserung
Franken	Franken
höhere	hoch
Böden	Boden
Subunternehmerleistungen	Subunternehmerleistungen
Landtechnik	Landtechnik
weitere	weit
devastierter	devastierter
Heyden	Heyden
Urban	urban
Filmverwertungsrechten	Filmverwertungsrechten
Große	Große
Partnergesellschaft	Partnergesellschaft
Lindenberg	Lindenberg
naturstein	naturstein
Böschungen	Böschung
Bildplatten	Bildplatten
Kinder	Kind
EGV	EGV
Kommunikationspraxis	Kommunikationspraxis
Unterstützung	Unterstützung
Immobiliengeschäften	Immobiliengeschäft
Zu	zu
beteiligt	beteiligen
Schülerbusverkehr	Schülerbusverkehr
Laden	Laden
Charlottenburg	Charlottenburg
Brosk	Brosk
Kotzias	Kotzias
Wasserzählern	Wasserzähler
Schädlich	schädlich
Trockenbau	Trockenbau
Kummersdorf	Kummersdorf
Haussprechanlagen	Haussprechanlagen
Elektro	Elektro
stiller	still
Obst	Obst
fortgesetzt	fortsetzen
Recyclingarbeiten	Recyclingarbeiten
Eiche	Eiche
Köln	Köln
Smits	Smits
Multiled	Multiled
Stefan	Stefan
Trimmpfade	Trimmpfad
Rolf	Rolf
Abschleppdienst	Abschleppdienst
Dipl.-Staatswissenschaftler	Dipl.-Staatswissenschaftler
Schröder	Schröder
Marlies	Marlies
Pflichten	Pflichten
Sondermaschinen	Sondermaschine
Beurteilung	Beurteilung
Zubehör	Zubehör
Schankwirtschaftsbetrieben	Schankwirtschaftsbetrieben
Probst	Probst
Wassertechnik	Wassertechnik
Zum	zum
Gewerbeobjekte	Gewerbeobjekt
Benn	Benn
dessen	d
Wirkung	Wirkung
Götze	Götze
Verkehr	Verkehr
OT	OT
Krefeld	Krefeld
Wartung	Wartung
Beirat	Beirat
Ahlhorn	Ahlhorn
Bepflanzen	Bepflanzen
Birkenstaedt	Birkenstaedt
entwickeln	entwickeln
einmal	einmal
Klemm	klemmen
Ausland	Ausland
Finanzbehörden	Finanzbehörde
Pay	Pay
Studien	Studien
Oschatz	Oschatz
amtliches	amtlich
biochemischen	biochemisch
Inhaber	Inhaber
Fertigbauwerken	Fertigbauwerken
Asphaltmischanlagen	Asphaltmischanlagen
Mitgeschäftsführungs	Mitgeschäftsführungs
Messerschmidt	Messerschmidt
leistungsorientiertem	leistungsorientiertem
Energieoptimierung	Energieoptimierung
Masur	Masur
Riesbeck	Riesbeck
Bautechnik	Bautechnik
Erlaubnis	Erlaubnis
Polizei	Polizei
Global	global
S.	S.
RM	RM
Höß	Höß
Strauch	Strauch
Weiterbildungsveranstaltungen	Weiterbildungsveranstaltung
Voß	Voß
Grundstücke	Grundstück
Accountant	Accountant
Ausgliederung	Ausgliederung
Investoren	Investor
Langenhagen	Langenhagen
Baudienstleistungen	Baudienstleistungen
Tragwerkplanung	Tragwerkplanung
Stammeinlagen	Stammeinlagen
Freizeitanlagen	Freizeitanlage
nonfood	nonfood
Erkenntnisse	Erkenntnis
historischen	historisch
Massiv	Massiv
Forschungsergebnisse	Forschungsergebnis
und	und
Zubehörteilen	Zubehörteilen
Camel	Camel
Barembruch	Barembruch
Gasheizungsanlagen	Gasheizungsanlagen
Diensten	Dienst
Klimatechnikanlagenservice	Klimatechnikanlagenservice
Schwaiger	Schwaiger
Begleitung	Begleitung
Service	Service
Matschke	Matschke
Verlags	Verlag
angrenzenden	angrenzend
Infrastrukturen	Infrastruktur
Annahme	Annahme
tätigen	tätigen
Geschäftsbereiche	Geschäftsbereich
darüberhinausgehende	darüberhinausgehende
Metallfertigteilen	Metallfertigteilen
Last	Last
